Unnamed: 0,time,t,fricv,shtfl,sp,u10,v10
197.0,2021-01-09 05:00:00,271.56464,0.21,9.0,98630.0,0.87931347,-2.324398
198.0,2021-01-09 06:00:00,270.8977,0.2,18.0,98610.0,0.5903702,-2.2125816
199.0,2021-01-09 07:00:00,270.38718,0.21,24.0,98660.0,0.10880566,-2.372095
200.0,2021-01-09 08:00:00,270.19553,0.1,11.0,98700.0,0.2878332,-0.9624386
201.0,2021-01-09 09:00:00,269.9801,0.09,9.0,98730.0,0.7860441,-0.38017845
202.0,2021-01-09 10:00:00,269.88873,0.09,11.0,98750.0,0.5715523,-0.5846176
203.0,2021-01-09 11:00:00,268.185,0.02,-1.0,98820.0,0.54356384,-0.6448612
204.0,2021-01-09 12:00:00,267.21613,0.02,-1.0,98850.0,0.7113724,0.33745956
205.0,2021-01-09 13:00:00,267.47815,0.04,-1.0,98880.0,0.6507473,0.6491184
206.0,2021-01-09 14:00:00,268.78857,0.14,9.0,98980.0,1.4954252,0.19542885
207.0,2021-01-09 15:00:00,270.9251,0.17,15.0,99060.0,1.5981026,-0.90618896
208.0,2021-01-09 16:00:00,273.36636,0.19,39.0,99100.0,1.7042389,-1.0114479
209.0,2021-01-09 17:00:00,276.18884,0.16,60.0,99020.0,1.3944893,-0.7998619
210.0,2021-01-09 18:00:00,277.82205,0.22,77.0,98950.0,1.8691835,-1.2407951
211.0,2021-01-09 19:00:00,278.39313,0.23,59.0,98910.0,1.7785769,-1.7295742
212.0,2021-01-09 20:00:00,277.96057,0.26,19.0,98950.0,2.101326,-2.0458927
213.0,2021-01-09 21:00:00,276.75385,0.15,-8.0,98960.0,1.9368153,-0.9295349
214.0,2021-01-09 22:00:00,274.91577,0.1,-11.0,99020.0,2.1643991,0.36463165
215.0,2021-01-09 23:00:00,273.48932,0.06,-4.0,99070.0,1.7348919,-0.104771614
216.0,2021-01-10 00:00:00,272.81244,0.03,-2.0,99120.0,0.7508459,0.7479706
217.0,2021-01-10 01:00:00,272.5032,0.05,-3.0,99140.0,0.7415886,1.3028412
218.0,2021-01-10 02:00:00,272.06885,0.03,-1.0,99190.0,0.39445496,0.7950134
219.0,2021-01-10 03:00:00,271.60547,0.03,-1.0,99200.0,0.015293121,0.91871834
220.0,2021-01-10 04:00:00,270.32806,0.04,-3.0,99220.0,-0.03140068,1.2639561
221.0,2021-01-10 05:00:00,269.32803,0.05,-5.0,99210.0,0.28220558,1.6970043
222.0,2021-01-10 06:00:00,268.92145,0.04,-3.0,99210.0,0.9749527,0.797596
223.0,2021-01-10 07:00:00,268.6228,0.04,-3.0,99220.0,0.6010647,1.1502161
224.0,2021-01-10 08:00:00,268.20013,0.03,-3.0,99280.0,0.4996338,0.9336252
225.0,2021-01-10 09:00:00,270.83545,0.02,0.0,99280.0,0.32886505,0.4823866
226.0,2021-01-10 10:00:00,272.06326,0.1,2.0,99310.0,1.1190481,0.44301605
227.0,2021-01-10 11:00:00,272.25345,0.08,5.0,99380.0,0.7961693,0.1406107
228.0,2021-01-10 12:00:00,271.97543,0.12,6.0,99440.0,1.2527218,0.37305832
229.0,2021-01-10 13:00:00,271.729,0.11,1.0,99480.0,1.033123,0.74181175
230.0,2021-01-10 14:00:00,272.03204,0.13,10.0,99550.0,1.4393253,0.28514194
231.0,2021-01-10 15:00:00,273.0515,0.13,30.0,99600.0,1.1059532,0.65655327
232.0,2021-01-10 16:00:00,274.2391,0.09,20.0,99580.0,0.45756721,0.5699482
233.0,2021-01-10 17:00:00,276.13232,0.09,59.0,99490.0,-0.101537704,0.5997782
234.0,2021-01-10 18:00:00,275.59677,0.14,36.0,99450.0,0.4623661,1.2618227
235.0,2021-01-10 19:00:00,277.06088,0.1,51.0,99440.0,0.699213,0.32294083
236.0,2021-01-10 20:00:00,278.20123,0.06,42.0,99360.0,0.4389572,0.05400276
237.0,2021-01-10 21:00:00,276.98352,0.09,8.0,99400.0,0.86242485,0.24750137
238.0,2021-01-10 22:00:00,274.76276,0.05,-3.0,99390.0,-0.6936817,1.4543304
239.0,2021-01-10 23:00:00,272.84918,0.06,-4.0,99430.0,-1.471385,0.96403694
240.0,2021-01-11 00:00:00,272.37488,0.03,0.0,99430.0,-0.9715824,0.2533455
241.0,2021-01-11 01:00:00,271.80515,0.03,-1.0,99410.0,-0.86761093,0.30186272
242.0,2021-01-11 02:00:00,270.79926,0.02,-1.0,99420.0,-0.5808878,0.3780346
243.0,2021-01-11 03:00:00,269.64435,0.02,0.0,99430.0,-0.656929,0.40408134
244.0,2021-01-11 04:00:00,268.96838,0.03,-2.0,99380.0,-0.994915,-0.0076408386
245.0,2021-01-11 05:00:00,268.7725,0.02,-1.0,99370.0,-0.5809288,-0.05595398
246.0,2021-01-11 06:00:00,268.91016,0.01,0.0,99350.0,-0.15147018,-0.17086029
247.0,2021-01-11 07:00:00,268.9286,0.01,0.0,99320.0,-0.319252,0.11365318
248.0,2021-01-11 08:00:00,269.2834,0.02,-1.0,99300.0,-0.64299774,0.3693142
249.0,2021-01-11 09:00:00,269.23465,0.01,-1.0,99280.0,-0.3605547,0.25659943
250.0,2021-01-11 10:00:00,269.60632,0.02,-1.0,99210.0,-0.33186626,-0.60310936
251.0,2021-01-11 11:00:00,269.78436,0.02,-1.0,99250.0,0.37973022,-0.68110085
252.0,2021-01-11 12:00:00,269.96777,0.01,-1.0,99250.0,0.017561913,-0.5489559
253.0,2021-01-11 13:00:00,270.8996,0.03,-1.0,99280.0,-0.9553633,0.047388077
254.0,2021-01-11 14:00:00,272.05225,0.13,4.0,99250.0,-1.1014957,0.963995
255.0,2021-01-11 15:00:00,273.4823,0.11,10.0,99270.0,0.80682945,0.7871208
256.0,2021-01-11 16:00:00,276.99158,0.16,65.0,99280.0,0.9895096,1.0845318
257.0,2021-01-11 17:00:00,278.90735,0.22,97.0,99160.0,1.3141747,1.75387
258.0,2021-01-11 18:00:00,278.9687,0.29,95.0,99040.0,2.2416391,2.242838
259.0,2021-01-11 19:00:00,277.37848,0.34,20.0,98970.0,3.2369232,2.391367
260.0,2021-01-11 20:00:00,276.87457,0.33,-6.0,98980.0,3.4756079,1.9931498
261.0,2021-01-11 21:00:00,275.67468,0.35,-17.0,99030.0,4.0008764,1.4627638
262.0,2021-01-11 22:00:00,274.90686,0.18,-17.0,99020.0,2.3920193,0.83257484
263.0,2021-01-11 23:00:00,274.56287,0.14,-5.0,99050.0,1.2594194,1.3806057
264.0,2021-01-12 00:00:00,274.33038,0.14,0.0,99070.0,1.2970839,1.2311907
265.0,2021-01-12 01:00:00,273.98862,0.17,-2.0,99070.0,1.6359863,1.2409678
266.0,2021-01-12 02:00:00,273.52496,0.19,0.0,99080.0,1.9540787,1.1758757
267.0,2021-01-12 03:00:00,272.96283,0.19,1.0,99070.0,1.6112747,1.645997
268.0,2021-01-12 04:00:00,272.61374,0.24,-1.0,99090.0,1.6114464,2.3732977
269.0,2021-01-12 05:00:00,272.58017,0.31,34.0,99130.0,3.0795593,1.73664
270.0,2021-01-12 06:00:00,272.2548,0.23,16.0,99080.0,2.3656044,1.2390528
271.0,2021-01-12 07:00:00,272.22894,0.23,26.0,99070.0,1.9176445,1.8142366
272.0,2021-01-12 08:00:00,272.20837,0.24,33.0,99080.0,1.784111,1.9571333
273.0,2021-01-12 09:00:00,272.2055,0.26,53.0,99040.0,1.9937477,2.1338902
274.0,2021-01-12 10:00:00,272.30725,0.25,49.0,99020.0,1.960949,1.9501781
275.0,2021-01-12 11:00:00,272.33478,0.26,33.0,99050.0,1.9176807,2.1689653
276.0,2021-01-12 12:00:00,272.28925,0.25,35.0,99070.0,1.836195,2.1192875
277.0,2021-01-12 13:00:00,272.08777,0.27,32.0,99060.0,1.7935581,2.5584488
278.0,2021-01-12 14:00:00,272.3681,0.27,42.0,99060.0,2.0177984,2.2919168
279.0,2021-01-12 15:00:00,272.51367,0.31,55.0,99100.0,2.3828297,2.5857363
280.0,2021-01-12 16:00:00,272.64386,0.36,80.0,99090.0,2.6965961,3.1730232
281.0,2021-01-12 17:00:00,272.78696,0.39,74.0,99030.0,2.9659853,3.3251448
282.0,2021-01-12 18:00:00,272.96896,0.31,65.0,98910.0,2.1479845,2.6184149
283.0,2021-01-12 19:00:00,273.27087,0.33,65.0,98870.0,3.0361757,2.1369638
284.0,2021-01-12 20:00:00,273.05017,0.32,32.0,98870.0,2.914816,2.4070177
285.0,2021-01-12 21:00:00,272.96442,0.26,20.0,98840.0,2.0908146,2.056161
286.0,2021-01-12 22:00:00,272.30368,0.24,6.0,98870.0,2.0219355,1.9607563
287.0,2021-01-12 23:00:00,271.6491,0.29,11.0,98864.266,2.0812044,2.7160416
